SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	26200	16636
1	1101	91733	91733
2	1101	75091	75091
3	1101	79958	79958
4	1101	84745	84745
0	1102	37985	16379
1	1102	86795	86795
2	1102	71008	71008
3	1102	75373	75373
4	1102	80166	80166
0	1103	54862	16194
1	1103	82217	82217
2	1103	66898	66898
3	1103	71080	71080
4	1103	75746	75746
0	1104	36403	16467
1	1104	85347	85347
2	1104	70208	70208
3	1104	74168	74168
4	1104	79792	79792
0	2101	24767	16191
1	2101	89740	89740
2	2101	74094	74094
3	2101	78274	78274
4	2101	84177	84177
0	2102	34048	15670
1	2102	86142	86142
2	2102	71800	71800
3	2102	75590	75590
4	2102	80725	80725
0	2103	50657	15548
1	2103	82398	82398
2	2103	68008	68008
3	2103	71605	71605
4	2103	76467	76467
0	2104	35845	16048
1	2104	86242	86242
2	2104	70811	70811
3	2104	75294	75294
4	2104	80728	80728
